hash_doc,gemma2-9b-it,llama3-70b-8192,llama3-8b-8192,mixtral-8x7b-32768
5359a8f70890,0.223636364,0.6177217,0.285833333,0.955872997
45439f4cdcd4,0.390909091,1.003048558,0.19,0.355788839
8c604371f445,0.374545455,0.808987879,0.245,0.980581305
44b45c43161e,0.229090909,0.615725774,0.2425,0.447010134
e955c85a818d,0.565454545,0.79356107,0.260833333,0.712398523
9cf44390c1e0,0.272727273,0.767715167,0.225,0.432583647
f2a2fc03865d,0.536363636,0.77490202,0.434166667,0.697603757
8ed5bf2c6460,0.310909091,0.898630376,0.236666667,0.546000987
63170414b2a4,0.103636364,0.831895981,0.238333333,0.692678818
725b8205d830,0.178181818,0.235016243,0.193333333,0.392609454
b76cd0cc1107,0.496363636,0.956597313,0.244166667,0.543536752
ecf0c6373070,0.265454545,0.752703078,0.231666667,0.42420335
a31dfed8e457,0.450909091,0.513115334,0.2225,0.608969503
cde838b93bf2,0.249090909,0.848767239,0.5025,0.697118598
4287c5bdebd7,0.430909091,0.960017343,0.2875,0.330756495
3fe4daa9999c,0.387272727,0.832550353,0.316666667,0.578733741
1b0eac613360,0.265454545,0.994832425,0.261666667,0.671386641
7e74cc05b23c,0.316363636,0.899239275,0.321666667,0.328882759
81fd553a42e8,0.190909091,0.854394939,0.3225,0.505011728
4f960a086cc3,0.298181818,0.859460683,0.351666667,0.572417984
55525eacb03b,0.256363636,0.820553601,0.274166667,0.471023824
55ba865d2683,0.201818182,0.686212065,0.144166667,0.326300756
1b753053818b,0.305454545,0.859911403,0.21,0.633932876
ff86589b369c,0.296363636,0.984260464,0.355,0.495366033
949a9e9b10d3,0.216363636,0.637804717,0.19,0.410846196
9a88fc7b3e2d,0.312727273,0.565717938,0.31,0.552646898
98afe4a92d90,0.181818182,0.394241885,0.170833333,0.458282958
b761f0aa4c84,0.418181818,0.801127855,0.0025,0.684093798
f98ca567211b,0.303636364,0.697687062,0.25,0.443158183
03d28eca0b9d,0.214545455,0.573319947,0.154166667,0.358659483
45732e1930a0,0.158181818,0.772092667,0.328333333,0.741018536
fedf9756a479,0.292727273,0.67681953,0.204166667,0.523968566
e890e5acaa22,0.341818182,1.117441912,0.271666667,0.380934172
12dabf02e082,0.301818182,0.806758809,0.420833333,0.769388372
c0c3c8f9a126,0.249090909,0.848329022,0.356666667,0.400029331
993882f469d5,0.369090909,1.216682661,0.451666667,0.722167912
495c0669e40f,0.623636364,1.05844487,0.364166667,0.760204244
eae6aee17c33,0.461818182,0.656984974,0.275833333,0.769376659
4147acd1d35e,0.292727273,0.952267908,0.2925,0.348710685
7bff295c8576,0.305454545,0.781555249,0.264166667,0.760174414
12e82fb430da,0.461818182,0.865526034,0.403333333,0.954449788
3deba32bd8aa,0.276363636,0.533574775,0.2125,0.570536325
cd1e07d9e100,0.236363636,0.741121762,0.329166667,0.286106879
209ba1e69523,0.252727273,0.910524637,0.251666667,1.06055049
f7626330f3e5,0.294545455,1.345131965,0.2975,0.552853113
e7b63f45fa00,0.203636364,0.776033913,0.236666667,0.676615028
ef46afa2cbff,0.261818182,0.721170032,0.243333333,0.529240993
ad725cbfbd61,0.565454545,0.935739379,0.3925,0.571489035
9c1a4bd0d170,0.196363636,0.707186546,0.1575,0.663655143
a9c11a998bb3,0.336363636,0.531867191,0.164166667,0.459873303
eb470412c568,0.294545455,0.401668407,0.280833333,0.539008942
111b3d97c6d0,0.274545455,0.865322593,0.335,0.618726595
4533c83d76cb,0.28,1.112172821,0.2775,0.493956207
73be31546d86,0.409090909,0.84366666,0.360833333,0.538987969
3ef7785fdbfe,0.238181818,0.78806318,0.003333333,0.525425283
9d0467ce31fd,0.210909091,0.419612066,0.15,0.509112985
648ab715b158,0.256363636,0.676767142,0.165833333,0.435587778
7b4d2183f0a2,0.194545455,0.701098416,0.293333333,0.357569571
37eaa6830526,0.314545455,0.801269637,0.236666667,0.539279786
e390b0bb0934,0.170909091,0.3048831,0.190833333,0.47221513
e0c1f9d72c4c,0.338181818,0.719870282,0.350833333,0.582017868
92821d01d456,0.192727273,0.601141048,0.211666667,0.366082009
1f19c117f6eb,0.269090909,0.552429841,0.286666667,0.376389739
4c0c0035fea2,0.356363636,0.765342993,0.285833333,0.523475168
d0580ea0d867,0.325454545,0.878677499,0.244166667,0.505516972
a61154c86920,0.189090909,0.398042523,0.144166667,0.35655003
a0dc100358f9,0.356363636,0.92764963,0.330833333,0.498603637
2760d6620102,0.263172099,0.864960235,0.38,0.767199952
b87fc053adb3,0.350909091,0.976930805,0.279166667,0.550142695
6cea7a112bc0,0.14,0.757412685,0.155,0.439829923
6150689aecd0,0.44,0.898187004,0.3375,1.099688367
14771a3a668b,0.207272727,0.835627868,0.301666667,0.714763686
4cf7be7f6166,0.252727273,0.877158076,0.500833333,0.629536462
e4b3ebf837d6,0.485454545,1.071472286,0.39,0.662055929
2ef9139721e2,0.370909091,0.968627316,0.3775,0.677568538
af8c32d02618,0.438181818,0.962313146,0.2575,0.561364839
3b45baf15ccf,0.603636364,0.914965505,0.255,0.782983438
