title,hash_title,allowed_hashes
How to Eliminate 90 Percent of Heart Disease Risk,6efc3c30973b,['6efc3c30973b']
"Which Rice Has the Least Amount of Arsenic: Black, Brown, Red, White, or Wild?",48e0078cdb15,"['48e0078cdb15', '2946f8f86b01', '98ff783db1be', 'b64d9dbe0b9a', '41e3187b6b71', 'fd74667b107f']"
Lycopene Supplements Put to the Test,fc4b41fcea5d,['fc4b41fcea5d']
Foods That May Block Cancer Formation,2d8bc429dcfd,['2d8bc429dcfd']
What Is the Best Food for Labor and Delivery?,84f45c4b576d,['84f45c4b576d']
Heart Disease: There Is a Cure,c12f4b403d7a,['c12f4b403d7a']
Bacteria and Kosher and Organic Chicken,1d6613ceac20,['1d6613ceac20']
How Not to Die from Kidney Disease,a04f53eb52dd,['a04f53eb52dd']
Eating Chicken May Lead to a Smaller Penis,f99fc1a7bc99,['f99fc1a7bc99']
Does Coconut Oil Help with Abdominal Fat?,2ff22a5261cd,['2ff22a5261cd']
What Should We Drink?,6d241518cf3b,['6d241518cf3b']
Volume 54 Is Out Now,a80493fe9db4,['a80493fe9db4']
Sunflower Seeds May Aggravate Acne,e6fa1cb27d9f,['e6fa1cb27d9f']
Reversing Diabetic Blindness with Diet,fa914b0bd5f8,['fa914b0bd5f8']
Do Flaxseeds Offer Sufficient Omega-3’s for Our Heart?,8be09b99c076,['8be09b99c076']
Phosphate Additives in Chicken Banned Elsewhere,dc6f1d568f11,['dc6f1d568f11']
Is Seafood Safe from Microplastic Contamination?,fa25cfd5f3bc,"['ab1c36b0be32', 'fa25cfd5f3bc']"
The Top Four Anti-Inflammatory Spices,7bfcf6dc9e90,['7bfcf6dc9e90']
Using Diet to Treat Asthma and Eczema,da4fa7b1a2fd,['da4fa7b1a2fd']
Are Raisins a Good Snack Choice?,888817ca2b20,['888817ca2b20']
Check Out Our New Shirts (and Flash Sale!),5fed8552cccc,['5fed8552cccc']
The Effects of Too Much Arsenic in the Diet,d94ccebc02bd,['d94ccebc02bd']
How Probiotics Affect Mental Health,e6e90915c660,['e6e90915c660']
